Species	n	Positive	Negative
Johnsonita_auda	1	0	1
Junonia_almana	1	0	1
Junonia_almana_almana	2	1	1
Junonia_arithya	1	0	1
Junonia_hierta	1	0	1
Junonia_lemonias	3	1	2
Junonia_orithya	5	1	4
Lachnocnema_divergens	1	0	1
Lampides_boeticus	5	2	3
Lampides_boeticus	1	0	1
Laphygma_exigua	NA	NA	NA
Leptalina_unicolor	2	1	1
Leptosia_nina	1	1	0
Leptotes_marina	1	0	1
Lethe_europa	1	0	1
Libythea_celtis	3	1	2
Libythea_myrrha	1	1	0
Limenitis_camilla_japonica	1	0	1
Liphyra_brassolis	1	1	0
Logania_malayica	1	0	1
Lucia_limbaria	1	0	1
Lycaeides_argyronomon	2	0	2
Lycaeides_idas	1	1	0
Lycaeides_melissa_melissa	29	26	3
Lycaeides_melissa_samuelis	20	20	0
Lycaeides_melissa_samuelis	22	22	0
Lycaeides_melissa_samuelis	17	17	0
Lycaeides_melissa_samuelis	25	25	0
Lycaeides_melissa_samuelis	21	21	0
Lycaeides_melissa_samuelis	22	22	0
Lycaeides_melissa_samuelis	10	10	0
Lycaeides_melissa_samuelis	4	4	0
Lycaeides_melissa_samuelis	22	0	22
Lycaeides_melissa_samuelis	1	0	1
Lycaeides_melissa_samuelis	5	0	5
Lycaeides_melissa_samuelis	30	1	29
Lycaeides_melissa_samuelis	13	0	13
Lycaena_arota	1	0	1
Lycaena_phlaeas_daimio	7	1	6
Lycaenopsis_haraldus	1	0	1
Madeleinea_sigal	1	1	0
Mamestra_brassicae	7	2	5
Marasmia_sp	1	1	0
Megalopalpus_zymna	1	0	1
Melanitis_leda	2	1	1
Melanitis_sp	2	0	2
Mesapamea_secalis	1	0	1
Miletus_gallus	1	0	1
Moduza_procris	1	0	1
Morgaronia_pyloalis	NA	NA	NA
Mycalesis_francisca	4	2	2
Mythimna_pallens	1	0	1
Mythimna_separata	1	0	1
Nabokovia_faga	1	0	1
Nacaduba_angusta	1	1	0
Neomyrina_nivea	1	0	1
Neonympha_mitchellii_francisi	4	4	0
Neonympha_mitchellii_mitchellii	180	20	160
Neptis_hylas	2	1	1
Neptis_hylas_luculenta	3	0	3
Nesolycaena_albosericea	1	0	1
Niphanda_fusca	1	0	1
Noctua_janthina	1	0	1
Noctua_pronuba	1	0	1
Nymphalis_xanthomelas	2	1	1
Nymphula_depunctalis	4	2	2
Nymphula_depunctalis	NA	NA	NA
Ogyris_abrota	1	0	1
Ogyris_olane	1	0	1
Ornipholidots_peucetia	1	1	0
Ornipholidots_peucetia	1	0	1
Ostrinia_furnacalis	2116	223	1893
Ostrinia_furnacalis	79	11	68
Ostrinia_nubilalis	62	0	62
Ostrinia_nubilalis	4	0	4
Ostrinia_nubilalis	4	0	4
Ostrinia_nubilalis	8	0	8
Ostrinia_nubilalis	4	0	4
Ostrinia_orientalis	4	1	3
Ostrinia_orientalis	20	1	19
Ostrinia_orientalis	3	1	2
Ostrinia_scapulalis	22	2	20
Ostrinia_zaguliaevi	5	0	5
Ostrinia_zaguliaevi	9	0	9
Ostrinia_zaguliaevi	1	0	1
Ostrinia_zaguliaevi	2	1	1
Ostrinia_zealis	1	0	1
Ostrinia_zealis	4	0	4
Ostrinia_zealis	6	0	6
Oxylides_faunas	1	0	1
Pachliopta_aristolochiae_innteposita	1	0	1
Pandemis_corylana	1	0	1
Panthiades_aeolus	1	0	1
Papaipema_beeriana	1	1	0
Papaipema_sciata	1	1	0
Papaipema_silphii	1	1	0
Papilio_demoleus	30	0	30
Papilio_demoleus	2	1	1
Papilio_memnon	1	0	1
Papilio_polymnestor	60	30	30
Papilio_polytes	4	0	4
Papilio_polytes	3	0	3
Papilio_xuthus	1	0	1
Parantica_aglea	2	1	1
Pareronia_valeria	2	2	0
Parnara_mathias	NA	NA	NA
Parnassius_glacialis	2	0	2
Parornix_devoniella	2	2	0
Pelopidas_mathias	1	0	1
Pentila_pauli	1	0	1
Peridroma_saucia	1	0	1
Phengaris_alcon	1	1	0
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	1	0
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	1	0
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	1	0
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	1	0
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	1	0
Phengaris_nausithous	1	0	1
Phengaris_nausithous	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_daisensis	1	0	1
Phengaris_teleius_euphemia	1	1	0
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	1	0
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	1	0
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	1	0
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_euphemia	1	0	1
Phengaris_teleius_hosonoi	1	0	1
Phengaris_teleius_hosonoi	1	0	1
Phengaris_teleius_kazamoto	1	0	1
Phengaris_teleius_kazamoto	1	0	1
Phengaris_teleius_kazamoto	1	0	1
Phengaris_teleius_kazamoto	1	0	1
Phengaris_teleius_kazamoto	1	0	1
Phengaris_teleius_kazamoto	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	0	1
Phengaris_teleius_obscurata	1	1	0
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_ogumae	1	0	1
Phengaris_teleius_sinalcon	1	0	1
Phengaris_teleius_sinalcon	1	0	1
Phengaris_teleius_sinalcon	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	1	0
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
Phengaris_teleius_teleius	1	0	1
