Species,Family,n,Positive,Negative
Horaga ,Lycaenidae,1,1,0
Hypaurotis ,Lycaenidae,1,1,0
Hypochrysops ,Lycaenidae,1,0,1
Hypolimnas ,Nymphalidae,49,25,24
Hypolimnas ,Nymphalidae,16,8,8
Hypolimnas ,Nymphalidae,6,3,3
Hypolimnas ,Nymphalidae,6,6,0
Hypolimnas ,Nymphalidae,23,23,0
Hypolimnas ,Nymphalidae,117,76,41
Hypolimnas ,Nymphalidae,54,34,20
Hypolimnas ,Nymphalidae,30,24,6
Hypolimnas ,Nymphalidae,70,35,35
Hypolimnas ,Nymphalidae,511,257,254
Hypolimnas ,Nymphalidae,107,62,45
Hypolimnas ,Nymphalidae,19,19,0
Hypolimnas ,Nymphalidae,80,43,37
Hypolimnas ,Nymphalidae,49,25,24
Hypolimnas ,Nymphalidae,28,14,14
Hypolimnas ,Nymphalidae,8,4,4
Hypolimnas ,Nymphalidae,7,3,4
Hypolimnas ,Nymphalidae,4,0,4
Hypolycaena ,Lycaenidae,1,0,1
Hyposidra ,Geometridae,NA,NA,NA
Ideopsis ,Nymphalidae,8,4,4
Iolaus ,Lycaenidae,1,0,1
Iraota ,Lycaenidae,1,1,0
Ixias ,Pieridae,2,0,2
Ixias ,Pieridae,1,1,0
Jalmenus ,Lycaenidae,2,2,0
Jamides ,Lycaenidae,1,1,0
Jamides ,Lycaenidae,1,0,1
Johnsonita ,Lycaenidae,1,0,1
Junonia ,Nymphalidae,1,0,1
Junonia ,Nymphalidae,2,1,1
Junonia ,Nymphalidae,1,0,1
Junonia ,Nymphalidae,1,0,1
Junonia ,Nymphalidae,3,1,2
Junonia ,Lycaenidae,5,1,4
Lachnocnema ,Lycaenidae,1,0,1
Lampides ,Lycaenidae,5,2,3
Lampides ,Lycaenidae,1,0,1
Laphygma ,Noctuidae,NA,NA,NA
Leptalina ,Hesperiidae,2,1,1
Leptosia ,Pieridae,1,1,0
Leptotes ,Lycaenidae,1,0,1
Lethe ,Nymphalidae,1,0,1
Libythea ,Nymphalidae,3,1,2
Libythea ,Nymphalidae,1,1,0
Limenitis ,Nymphalidae,1,0,1
Liphyra ,Lycaenidae,1,1,0
Logania ,Lycaenidae,1,0,1
Lucia ,Lycaenidae,1,0,1
Lycaeides ,Lycaenidae,2,0,2
Lycaeides,Lycaenidae,1,1,0
Lycaeides ,Lycaenidae,29,26,3
Lycaeides ,Lycaenidae,20,20,0
Lycaeides ,Lycaenidae,22,22,0
Lycaeides ,Lycaenidae,17,17,0
Lycaeides ,Lycaenidae,25,25,0
Lycaeides ,Lycaenidae,21,21,0
Lycaeides ,Lycaenidae,22,22,0
Lycaeides ,Lycaenidae,10,10,0
Lycaeides ,Lycaenidae,4,4,0
Lycaeides ,Lycaenidae,22,0,22
Lycaeides ,Lycaenidae,1,0,1
Lycaeides ,Lycaenidae,5,0,5
Lycaeides ,Lycaenidae,30,1,29
Lycaeides ,Lycaenidae,13,0,13
Lycaena ,Lycaenidae,1,0,1
Lycaena ,Lycaenidae,7,1,6
Lycaenopsis ,Lycaenidae,1,0,1
Madeleinea ,Lycaenidae,1,1,0
Mamestra ,Noctuidae,7,2,5
Marasmia ,Pyralidae,1,1,0
Megalopalpus ,Lycaenidae,1,0,1
Melanitis ,Nymphalidae,2,1,1
Melanitis ,Nymphalidae,2,0,2
Mesapamea ,Noctuidae,1,0,1
Miletus ,Lycaenidae,1,0,1
Moduza ,Nymphalidae,1,0,1
Morgaronia ,Pyralidae,NA,NA,NA
Mycalesis ,Nymphalidae,4,2,2
Mythimna ,Noctuidae,1,0,1
Mythimna ,Noctuidae,1,0,1
Nabokovia ,Lycaenidae,1,0,1
Nacaduba ,Lycaenidae,1,1,0
Neomyrina ,Lycaenidae,1,0,1
Neonympha ,Nymphalidae,4,4,0
Neonympha ,Nymphalidae,180,20,160
Neptis ,Nymphalidae,2,1,1
Neptis ,Nymphalidae,3,0,3
Nesolycaena ,Lycaenidae,1,0,1
Niphanda ,Lycaenidae,1,0,1
Noctua ,Noctuidae,1,0,1
Noctua ,Noctuidae,1,0,1
Nymphalis ,Nymphalidae,2,1,1
Nymphula,Crambidae,4,2,2
Nymphula,Crambidae,NA,NA,NA
Ogyris,Lycaenidae,1,0,1
Ogyris,Lycaenidae,1,0,1
Ornipholidots ,Lycaenidae,1,1,0
Ornipholidots ,Lycaenidae,1,0,1
Ostrinia,Crambidae,2116,223,1893
Ostrinia,Crambidae,79,11,68
Ostrinia,Pyralidae,62,0,62
Ostrinia,Pyralidae,4,0,4
Ostrinia,Pyralidae,4,0,4
Ostrinia,Pyralidae,8,0,8
Ostrinia,Pyralidae,4,0,4
