Genus	species	n	Positive	Negative
Junonia	hierta	1	0	1
Junonia	lemonias	3	1	2
Junonia	orithya	5	1	4
Lachnocnema	divergens	1	0	1
Lampides	boeticus	5	2	3
Lampides	boeticus	1	0	1
Laphygma	exigua	NA	NA	NA
Leptalina	unicolor	2	1	1
Leptosia	nina	1	1	0
Leptotes	marina	1	0	1
Lethe	europa	1	0	1
Libythea	celtis	3	1	2
Libythea	myrrha	1	1	0
Limenitis	camilla	1	0	1
Liphyra	brassolis	1	1	0
Logania	malayica	1	0	1
Lucia	limbaria	1	0	1
Lycaeides	argyronomon	2	0	2
Lycaeides	idas	1	1	0
Lycaeides	melissa	29	26	3
Lycaeides	melissa	20	20	0
Lycaeides	melissa	22	22	0
Lycaeides	melissa	17	17	0
Lycaeides	melissa	25	25	0
Lycaeides	melissa	21	21	0
Lycaeides	melissa	22	22	0
Lycaeides	melissa	10	10	0
Lycaeides	melissa	4	4	0
Lycaeides	melissa	22	0	22
Lycaeides	melissa	1	0	1
Lycaeides	melissa	5	0	5
Lycaeides	melissa	30	1	29
Lycaeides	melissa	13	0	13
Lycaena	arota	1	0	1
Lycaena	phlaeas	7	1	6
Lycaenopsis	haraldus	1	0	1
Madeleinea	sigal	1	1	0
Mamestra	brassicae	7	2	5
Marasmia 	sp. 	1	1	0
Megalopalpus	zymna	1	0	1
Melanitis	leda	2	1	1
Melanitis 	sp. 	2	0	2
Mesapamea	secalis	1	0	1
Miletus	gallus	1	0	1
Moduza	procris	1	0	1
Morgaronia	pyloalis	NA	NA	NA
Mycalesis	francisca	4	2	2
Mythimna	pallens	1	0	1
Mythimna	separata	1	0	1
Nabokovia	faga	1	0	1
Nacaduba	angusta	1	1	0
Neomyrina	nivea	1	0	1
Neonympha	mitchellii	4	4	0
Neonympha	mitchellii	180	20	160
Neptis	hylas	2	1	1
Neptis	hylas	3	0	3
Nesolycaena	albosericea	1	0	1
Niphanda	fusca	1	0	1
Noctua	janthina	1	0	1
Noctua	pronuba	1	0	1
Nymphalis	xanthomelas	2	1	1
Nymphula	depunctalis	4	2	2
Nymphula	depunctalis	NA	NA	NA
Ogyris	abrota	1	0	1
Ogyris	olane	1	0	1
Ornipholidots	peucetia	1	1	0
Ornipholidots	peucetia	1	0	1
Ostrinia	furnacalis	2116	223	1893
Ostrinia	furnacalis	79	11	68
Ostrinia	nubilalis	62	0	62
Ostrinia	nubilalis	4	0	4
Ostrinia	nubilalis	4	0	4
Ostrinia	nubilalis	8	0	8
Ostrinia	nubilalis	4	0	4
Ostrinia	orientalis	4	1	3
Ostrinia	orientalis	20	1	19
Ostrinia	orientalis	3	1	2
Ostrinia	scapulalis	22	2	20
Ostrinia	zaguliaevi	5	0	5
