Superfamily,Family,Genus,species,Code name3
Pyraloidea,Crambidae,Syntonarcha,iriastis,Stna
Gelechioidea,Elachistidae,Stenoma,patens,Stpa
Zygaenoidea,Limacodidae,Strigivenifera,venata,Svta
Cossoidea,Brachodidae,Synechodes,coniophora,Syco
Cossoidea,Sesiidae,Synanthedon,exitiosa,Syex
Yponomeutoidea,Yponomeutidae,Scythropia,crataegella,Sytg
Micropterigoidea,Micropterigidae,Sabatinca,zonodoxa,Szo2
Yponomeutoidea,Yponomeutidae,Thecobathra,anas,Tan
Bombycoidea,Carthaeidae,Carthaea,saturnioides,TB032177
Tineoidea,Tineidae,Tineola,bisselliella,Tbi3
Noctuoidea,Noctuidae,Trichosea,champa,Tchmp
Tineoidea,Tineidae,Tinea,columbariella,Tco2
Tineoidea,Psychidae,Thyridopteryx,ephemeraeformis,Tep2
Adeloidea,Prodoxidae,Tridentaforma,fuscoleuca,Tfu2
Tischerioidea,Tischeriidae,Tischeria,ekebladella,Tgkb
Gelechioidea,Elachistidae,Thudaca,haplonota,Thap
Tischerioidea,Tischeriidae,Coptotriche,malifoliella,Thcn
Cossoidea,Castniidae,Telchin,licus pauperata,Tlic
Choreutoidea,Choreutidae,Tebenna,micalis,Tmic
Noctuoidea,Noctuidae,Trichoplusia,ni,Tni
Lasiocampoidea,Lasiocampidae,Tolype,notialis,Tnot
Choreutoidea,Choreutidae,Tortyra,sp.,Tort
Nepticuloidea,Nepticulidae,Trifurcula,pallidella,Tpad
Tineoidea,Tineidae,Trichophaga,tapetzella,Tpgt
Noctuoidea,Notodontidae,Thaumatopoea,pityocampa,Tpit
Geometroidea,Geometridae,Trichopteryx,carpinata,Trca
Limnephiloidea,Limnephilidae,Limnephilini gen.,sp.,Trili
Hepialoidea,Hepialidae,Trictena,argyrosticha,Trta
Mimallonoidea,Mimallonidae,Trogoptera,"sp. ""salvita DHJ02""",Tsav
Drepanoidea,Drepanidae,Tethea,consimilis,Ttms
Tineoidea,Psychidae,Typhonia,ciliaris,Tycl
Gelechioidea,Xyloryctidae,Tymbophora,peltastis,Tymb
Adeloidea,Prodoxidae,Tegeticula,yuccasella,Tyu2
Papilionoidea,Hesperiidae,Urbanus,doryssus,Udo
Geometroidea,Uraniidae,Urapteroides,astheniata,Uptd3
Urodoidea,Urodidae,Urodus,decens,Ursp
Papilionoidea,Nymphalidae,Vanessa,carye,Vane
Cossoidea,Sesiidae,Vitacea,polistiformis,Vipo
Adeloidea,Incurvariidae,Vespina,quercivora,Vqu2
Urodoidea,Urodidae,Wockia,asperipunctella,Wasp
Gelechioidea,Oecophoridae,Wingia,aurata,Win
Philopotamoidea,Philopotamidae,Wormaldia,moesta,Wmo2
Urodoidea,Urodidae,Wockia,koreana,Woc
Cossoidea,Cossidae,Xyleutes,mineus,Xmns
Tineoidea,Tineidae,Xystrologa,wielgusi,Xwi
Yponomeutoidea,Yponomeutidae,Yponomeuta,multipunctella,Ymul
Yponomeutoidea,Ypsolophidae,Ypsolopha,nigrimaculata,Yni
Yponomeutoidea,Yponomeutidae,Eucalantica,costaricae,Ysp
Cossoidea,Cossidae,Zeuzera,coffeae,Zcof
Zygaenoidea,Zygaenidae,Zygaena,fausta,Zgfa
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
