Superfamily,Family,Genus,species,Code name3
Gelechioidea,Gelechiidae,Caryocolum,pulatella,Cpua
Gelechioidea,incertae sedis,Gelechioidea gen.,sp.,CR19
Papilionoidea,Hesperiidae,Coeliades,ramanatek,Cram
Adeloidea,Incurvariidae,Crinopteryx,familiella,Crin
Tortricoidea,Tortricidae,Choristoneura,rosaceana,Cros
Adeloidea,Adelidae,Cauchas,simpliciella,Csi
Cossoidea,Cossidae,Culama,crepera,Cucr
Papilionoidea,Lycaenidae,Curetis,bulis stigmata,Cure
Noctuoidea,Noctuidae,Cucullia,convexipennis,Cuvx
Lasiocampoidea,Lasiocampidae,Chondrostega,vandalicia,Cvan
Cossoidea,Cossidae,Chilecomadia,valdiviana,Cvdv
Papilionoidea,Hesperiidae,Cyclosemia,subcaerulea,Cycs3
Zygaenoidea,Cyclotornidae,Cyclotorna,sp.,Cyna
Zygaenoidea,Cyclotornidae,Cyclotorna,sp.,Cysp
Drepanoidea,Drepanidae,Cyclidia,substigmaria modesta,Cysu
Geometroidea,Geometridae,Cyclophora,nanaria,Cytr
Mimallonoidea,Mimallonidae,Druentia,alsa,Dals
Papilionoidea,Pieridae,Dismorphia,amphiona,Damp
Drepanoidea,Drepanidae,Drepana,arcuata,Darcu
Tortricoidea,Tortricidae,Decodes,asapheus,Dasa
Bombycoidea,Brahmaeidae,Dactyloceras,widenmani,Dawi
Tineoidea,Psychidae,Dysoptus,bilobus,Dbil
Adeloidea,Cecidosidae,Dicranoses,capsulifex,Dcap
Gelechioidea,Autostichidae,Deoclona,yuccasella,Deoy
Gelechioidea,Chimabachidae,Diurnea,fagella,Dfag
Eriocranioidea,Eriocraniidae,Dyseriocrania,griseocapitella,Dgr2
Yponomeutoidea,Glyphipterigidae,Digitivalva,hemiglypha,Dhem
Yponomeutoidea,Glyphipterigidae,Doxophyrtis,hydrocosma,Dhyd
Geometroidea,Geometridae,Dichromodes,"sp. ""7""",Dich
Yponomeutoidea,Glyphipterigidae,Diploschizia,impigritella,Dimp
Zygaenoidea,Dalceridae,Dalcerides,ingenita,Ding2
Noctuoidea,Oenosandridae,Discophlebia,sp.,Disc
Geometroidea,Geometridae,Dinophalus,sp. cf. lechriomita,Dlec
Pyraloidea,Crambidae,Dicymolomia,metalliferalis,Dmet
Drepanoidea,Doidae,Doa,"sp. ""Janzen01""",Doa
Gelechioidea,Oecophoridae,Deuterogonia,pudorina,Dpd
Noctuoidea,Notodontidae,Datana,drexelii,Dpe2
Papilionoidea,Nymphalidae,Danaus,plexippus,Dplex
Gelechioidea,Gelechiidae,Dichomeris,punctidiscella,Dpunc
Papilionoidea,Nymphalidae,Dynamine,sosthenes,Dsos
Zygaenoidea,Dalceridae,Acraga,philetera,Dsp
Cossoidea,Dudgeoneidae,Dudgeonea,sp.,Dudg
Thyridoidea,Thyrididae,Dysodia,"sp. ""Janzen06""",Dyso
Hepialoidea,Hepialidae,Elhamma,australasiae,Eate
Geometroidea,Geometridae,Earophila,badiata,Ebdt
Zygaenoidea,Limacodidae,Euclea,delphinii,Edel3
Tineoidea,Tineidae,Edosa,sp.,Edos
Mimallonoidea,Mimallonidae,Euphaneta,divisa,Edvs3
Cossoidea,Cossidae,Endoxyla,encalypti,Eeny
Gelechioidea,Elachistidae,Ethmia,eupostica,Eeu
Geometroidea,Epicopeiidae,Epicopeia,hainesii,Ehai
Gracillarioidea,Gracillariidae,Eumetriochroa,hederae,Ehdr
Tortricoidea,Tortricidae,Endothenia,hebesana,Eheb
Mimallonoidea,Mimallonidae,Eadmuna,"sp. ""Janzen01""",Ejzn
Yponomeutoidea,Heliodinidae,Epicroesa,metalliferalis,Emet
Pterophoroidea,Pterophoridae,Emmelina,monodactyla,Emon
Nepticuloidea,Nepticulidae,Enteucha,acetosae,Enac
Zygaenoidea,Epipyropidae,Epipomponia,nawai,Enaw
Gelechioidea,Elachistidae,Eupselia,carpocapsella,Epca
Epermenioidea,Epermeniidae,Epermenia,chaerophyllella,Epchh
Gracillarioidea,Gracillariidae,Epicephala,relictella,Epic
Epermenioidea,Epermeniidae,Epermenia,sp.,Epmn
Nepticuloidea,Nepticulidae,Ectoedemia,populella,Epo2
Micropterigoidea,Micropterigidae,Epimartyria,pardella,Eppd
Eriocranioidea,Eriocraniidae,Eriocraniella,aurosparsella,Erau
Noctuoidea,Nolidae,Earias,roseifera,Erof
Tineoidea,Eriocottidae,Eriocottis,sp. nov.,Ersn
Noctuoidea,Erebidae,Eudocima,salaminia,Esal
Eriocranioidea,Eriocraniidae,Eriocrania,semipurpurella,Ese2
Epermenioidea,Epermeniidae,Epermenia,sinjovi,Esji
Zygaenoidea,Epipyropidae,Fulgoraecia,exigua,Esp2
Pyraloidea,Crambidae,Evergestis,funalis,Esub
Tortricoidea,Tortricidae,Eugnosta,busckana,Etbk
Gelechioidea,Elachistidae,Elachista,tengstromi,Eten
Gelechioidea,Gelechiidae,Encolapta,tegulifera,Etgf
Zygaenoidea,Zygaenidae,Eterusia,aedea,Etsp
Tortricoidea,Tortricidae,Episimus,tyrius,Etyr
Geometroidea,Geometridae,Eupithecia,acutipennis,Euac
Tortricoidea,Tortricidae,Eucosma,picrodelta,Eucm
Tineoidea,Tineidae,Eudarcia,simulaticella,Euds
Papilionoidea,Papilionidae,Eurytides,branchus,Euryt
Tortricoidea,Tortricidae,Pelochrista,zomonana,Eusp
Tortricoidea,Tortricidae,Eulia,ministrana,Eutr
Bombycoidea,Endromidae,Endromis,versicolora,Eversicol
Tineoidea,Tineidae,Exoncotis,umbraticella,Exum
Tineoidea,Tineidae,Erechthias,zebrina,Ezeb
Gelechioidea,Elachistidae,Filinota,brunniceps,Fbrn
Noctuoidea,Notodontidae,Furcula,cinerea,Fci2
Nepticuloidea,Nepticulidae,Fomoria,hypericella,Fhyp
Pyraloidea,Pyralidae,Gauna,aegulsalis,Gaeg
Hepialoidea,Hepialidae,Gazoryctra,mathewi,Gazm
Tortricoidea,Tortricidae,Grapholita,delineana,Gdel
Thyridoidea,Thyrididae,Glanychus,insolitus,Gilt
Yponomeutoidea,Glyphipterigidae,Glyphipterix,sp.,Glpx
Cossoidea,Cossidae,Givira,mucidus,Gmuc
Gelechioidea,Autostichidae,Galagete,protozona,Gprot2
Noctuoidea,Notodontidae,Gluphisia,septentrionis,Gsep
Calliduloidea,Callidulidae,Griveaudia,vieui,Gvii
Noctuoidea,Euteliidae,Gyrtona,sp.,Gyrt
Adeloidea,Heliozelidae,Heliozela,aesella,Haes
Galacticoidea,Galacticidae,Homadaula,anisocentra,Hani
Tineoidea,Tineidae,Hapsifera,sp.,Haps
Drepanoidea,Drepanidae,Habrosyne,pyritoides,Hbpy
Papilionoidea,Nymphalidae,Heliconius,sara,Heli3
Geometroidea,Geometridae,Hasodima,elegans,Hens
Pyraloidea,Pyralidae,Hypsopygia,olinalis,Heol
Zygaenoidea,Epipyropidae,Heteropsyche,sp.,Heter
Choreutoidea,Choreutidae,Hemerophila,felis,Hfel
Hyblaeoidea,Hyblaeidae,Hyblaea,ibidias,Hibd
Gelechioidea,Stathmopodidae,Hieromantis,kurokoi,Hiku
Tortricoidea,Tortricidae,Hilarographa,undetermined,Hila
Zygaenoidea,Himantopteridae,Himantopteridae gen.,sp.,Hima
Tortricoidea,Tortricidae,Histura,perseavora,Hist
Gelechioidea,Batrachedridae,Batrachedra,sp.,Hlch
Bombycoidea,Sphingidae,Hyles,lineata,Hlin
Calliduloidea,Callidulidae,Helicomitra,pulchra,Hlpu
incertae sedis,,Heliocosma,melanotypa,Hmnt
Geometroidea,Sematuridae,Homidiana,sp.,Hodn
Papilionoidea,Hesperiidae,Hovala,"sp. ""1""",Hova
Gelechioidea,Elachistidae,Hypertropha,tortriciformis,Hptr
Geometroidea,Geometridae,Haematopis,grataria,Hrgi
Bombycoidea,Eupterotidae,Hoplojana,sp. cf. rhodoptera,Hrhd
Lasiocampoidea,Lasiocampidae,Heteropacha,rileyana,Hril
Papilionoidea,Hesperiidae,Hasora,chromus,Hsch
Heterobathmioidea,Heterobathmiidae,Heterobathmia,pseuderiocrania,Hsp2
Gelechioidea,Lecithoceridae,Homaloxestis,croceata,Htce
Tortricoidea,Tortricidae,Heppnerographa,tricesimana,Htmn
Gelechioidea,Cosmopterigidae,Hyposmocoma,turdella,Htur
Geometroidea,Geometridae,Hypobapta,xenomorpha,Hxen
Tineoidea,Tineidae,Hybroma,servulella,Hybs
Hyblaeoidea,Hyblaeidae,Hyblaea,firmamentum,Hyfm
Noctuoidea,Erebidae,Hypoprepia,miniata,Hymi
Hydropsychoidea,Hydropsychidae,Hydropsyche,sp.,Hysy
Noctuoidea,Noctuidae,Helicoverpa,zea,Hzea
Geometroidea,Geometridae,Idaea,dismissaria,Idms
Gelechioidea,Xyloryctidae,Illidgea,sp.,Illg
Immoidea,Immidae,Immidae gen. ÒJanzen01Ó,"sp. ""Janzen01""",Imja
Immoidea,Immidae,Imma,tetrascia,Imsp
Noctuoidea,Nolidae,Iscadia,producta,Ipdt
Bombycoidea,Saturniidae,Janiodes,laverna,Jcer
Bombycoidea,Eupterotidae,Jana,palliatella,Jpta
Tineoidea,Psychidae,Kearfottia,albifasciella,Kalb
Hepialoidea,Hepialidae,Korscheltellus,gracilis,Kgr13
Papilionoidea,Pieridae,Kricogonia,lyside,Klyd3
incertae sedis,Douglasiidae,Klimeschia,transversella,Ktr
Zygaenoidea,Lacturidae,Lacturidae gen.,sp.,Lact
Adeloidea,Prodoxidae,Lampronia,aenescens,Laenes2
Mimallonoidea,Mimallonidae,Lacosoma,chiridota,Lch2
Zygaenoidea,Megalopygidae,Lagoa,crispata,Lcr2
Noctuoidea,Erebidae,Lymantria,dispar,Ldi
Bombycoidea,Brahmaeidae,Lemonia,dumi,Ldumi2
Cossoidea,Metarbelidae,Lebedodes,cossula,Lebe
Gelechioidea,Lecithoceridae,Lecithocera,cheristis,Leci
Yponomeutoidea,Lyonetiidae,Leucoptera,coffeella,Leuco
Papilionoidea,Nymphalidae,Libytheana,carinenta bachmanii,Lica
Papilionoidea,Lycaenidae,Liphyra,brassolis,Liph
Cossoidea,Cossidae,Langsdorfia,lunifera,Llun
Gelechioidea,Lypusidae,Lypusa,maurella,Lmau
Lophocoronoidea,Lophocoronidae,Lophocorona,astiptica,Loas
Yponomeutoidea,Lyonetiidae,Lyonetia,prunifoliella,Lpfe
Yponomeutoidea,Glyphipterygidae,Lepidotarphius,perornatellus,Lpts
