Family
EUPT
TINE
PYRA
PELE
NYMP
DALC
URAN
PTER
TORT
HELI
BRAH
EREB
PTER
ROES
NOCT
ELAC
GLOS
GEOM
COSS
AIDI
BRAC
OPOS
ALUC
PYRA
CAST
AUTO
GELE
GRAC
TORT
CHOR
ANDE
PTER
TORT
LACT
GEOM
SATU
PYRA
AGAT
TINE
ELAC
TORT
GELE
PSYC
GLYP
ELAC
APAT
ATTE
ADEL
TISH
TORT
ACAN
NEOP
HELI
CIME
TINE
GELE
PALA
ELAC
TORT
GEOM
IMMI
MIMA
BOMB
BRAC
TORT
CHOR
NOLI
BEDE
BUCC
CARP
GRAC
TORT
CRAM
EREB
NOTO
GRAC
ANTH
GRAC
CECI
TORT
HESP
PIER
EREB
ELAC
TORT
COLE
GEOM
LASI
BLAS
ERIO
SEMA
COPR
TINE
COSS
COSM
COSS
CRAM
EUPT
GEOM
TORT
GELE
HESP
INCU
TORT
ADEL
COSS
LYCA
NOCT
LASI
COSS
HESP
CYCL
CYCL
DREP
GEOM
MIMA
PIER
DREP
TORT
BRAH
PSYC
CECI
AUTO
CHIM
ERIO
GLYP
GLYP
GEOM
GLYP
DALC
OENO
GEOM
CRAM
DOID
OECO
NOTO
NYMP
GELE
NYMP
DALC
DUDG
THYR
HEPI
GEOM
LIMA
TINE
MIMA
COSS
ELAC
EPIC
GRAC
TORT
MIMA
HELI
PTER
NEPT
EPIP
ELAC
EPER
GRAC
EPER
NEPT
MICR
ERIO
NOLI
ERIO
EREB
ERIO
EPER
EPIP
CRAM
TORT
ELAC
GELE
ZYGA
TORT
GEOM
TORT
TINE
PAPI
TORT
TORT
ENDR
TINE
TINE
ELAC
NOTO
NEPT
PYRA
HEPI
TORT
THYR
GLYP
COSS
AUTO
NOTO
CALL
EUTE
HELI
GALA
TINE
DREP
NYMP
GEOM
PYRA
EPIP
CHOR
HYBL
STAT
TORT
HIMA
TORT
BATR
SPHI
CALL
SEMA
HESP
ELAC
GEOM
EUPT
LASI
HESP
HETE
LECI
TORT
COSM
GEOM
TINE
HYBL
EREB
HYDR
NOCT
GEOM
XYLO
IMMI
IMMI
NOLI
SATU
EUPT
PSYC
HEPI
PIER
DOUG
LACT
PROD
MIMA
MEGA
EREB
BRAH
META
LECI
LYON
NYMP
LYCA
COSS
LYPU
LOPH
LYON
GLYP
LASI
XYLO
LACT
THYR
URAN
MNES
PYRA
LASI
DALC
NEPT
TINE
MICR
ENDR
GELE
HEDY
SESI
MEGA
URAN
CARP
PYRA
MEGA
MICR
MILL
EREB
DREP
NOLI
META
TINE
TINE
TINE
MOMP
MOMP
THYR
AUTO
SPHI
LASI
DREP
CRAM
ANTH
HESP
PSYC
CRAM
TINE
ADEL
ANTH
CRAM
NEOP
ADEL
MEGA
SEMA
NOLI
BLAS
MEGA
LECI
HEPI
GEOM
OENO
ENDR
TORT
SATU
GEOM
YPON
OPOS
PSYC
DREP
GLYP
TINE
PALA
YPSO
ERIO
COSM
TORT
TORT
CAST
PHID
BRAC
INCU
MICR
TINE
CRAM
PSYC
POLY
DREP
PSYC
LIMA
NEPT
LYCA
TINE
ENDR
THYR
COSS
GLYP
GELE
ZYGA
GRAC
EREB
LIMA
SESI
GRAC
TORT
PYRA
PAPI
OECO
NOCT
PTER
EPIC
GRAC
SPHI
EUPT
CRAM
LIMA
CHOR
HEPI
ZYGA
COSS
LASI
COPR
CRAM
PROD
OPOS
PIER
GRAC
ELAC
COSS
PROT
PRAY
TINE
EREB
NOCT
CRAM
ZYGA
SESI
PIER
CALL
CALL
NYMP
PALA
PALA
TINE
TORT
PLUT
TINE
BOMB
LECI
SCYT
RHYA
EREB
ROES
TINE
PSYC
SCHR
GEOM
CRAM
STAT
NOTO
URAN
SERI
GELE
LYCA
NOCT
SCYT
CRAM
SCHR
CARP
SATU
CAST
GRAC
TORT
THYR
NEPT
STAT
CRAM
ELAC
LIMA
BRAC
SESI
YPON
MICR
YPON
CART
TINE
NOCT
TINE
PSYC
PROD
TISC
ELAC
TISC
CAST
CHOR
NOCT
LASI
CHOR
NEPT
TINE
NOTO
GEOM
LIMN
HEPI
MIMA
DREP
PSYC
XYLO
PROD
HESP
URAN
UROD
NYMP
SESI
INCU
UROD
OECO
PHIL
UROD
COSS
TINE
YPON
YPSO
YPON
COSS
ZYGA
